"Time","Consumption","Location"
"2020-13-07 11:13:47","17.2","No location available yet"
"2020-13-07 11:13:48","17.2","No location available yet"
"2020-13-07 11:13:49","17.2","No location available yet"
"2020-13-07 11:13:50","17.2","No location available yet"
"2020-13-07 11:13:51","17.2","No location available yet"
"2020-13-07 11:13:52","17.2","No location available yet"
"2020-13-07 11:13:53","17.2","No location available yet"
"2020-13-07 11:13:54","17.2","No location available yet"
"2020-13-07 11:13:55","17.2","No location available yet"
"Time","Consumption","Location"
"2020-15-07 11:15:23","17.5","No location available yet"
"2020-15-07 11:15:24","17.5","No location available yet"
"2020-15-07 11:15:25","17.5","No location available yet"
"2020-15-07 11:15:26","17.5","No location available yet"
"2020-15-07 11:15:27","10.8","No location available yet"
"2020-15-07 11:15:28","10.8","No location available yet"
"2020-15-07 11:15:29","10.8","No location available yet"
"2020-15-07 11:15:30","10.8","No location available yet"
"2020-15-07 11:15:32","10.8","No location available yet"
"Time","Consumption","Location"
"2020-17-07 11:17:07","18.1","No location available yet"
"2020-17-07 11:17:08","18.1","No location available yet"
"2020-17-07 11:17:09","18.1","No location available yet"
"2020-17-07 11:17:10","18.1","No location available yet"
"2020-17-07 11:17:11","18.1","No location available yet"
"2020-17-07 11:17:12","18.1","No location available yet"
"Time","Consumption","Location"
"2020-17-07 11:17:38","15.5","No location available yet"
"2020-17-07 11:17:39","15.5","No location available yet"
"2020-17-07 11:17:41","15.5","No location available yet"
"2020-17-07 11:17:42","15.5","No location available yet"
"2020-17-07 11:17:43","15.5","No location available yet"
"2020-17-07 11:17:44","15.5","No location available yet"
"2020-17-07 11:17:45","15.5","No location available yet"
"2020-17-07 11:17:46","15.5","No location available yet"
"2020-17-07 11:17:47","15.5","No location available yet"
"Time","Consumption","Location"
"2020-19-07 11:19:25","11.7","No location available yet"
"2020-19-07 11:19:26","11.7","No location available yet"
"2020-19-07 11:19:27","11.7","No location available yet"
"2020-19-07 11:19:28","11.7","No location available yet"
"2020-19-07 11:19:29","11.7","No location available yet"
"2020-19-07 11:19:30","11.7","No location available yet"
"2020-19-07 11:19:31","11.7","f1p21T2t111918"
"2020-19-07 11:19:33","11.7","f1p21T2t111918"
"2020-19-07 11:19:34","11.7","f1p21T2t111918"
"2020-19-07 11:19:35","11.7","f1p21T2t111918"
"2020-19-07 11:19:36","11.7","f1p21T2t111918"
"2020-19-07 11:19:37","11.7","f1p21T2t111918"
"2020-19-07 11:19:38","11.7","f1p21T2t111918"
"2020-19-07 11:19:39","11.7","f1p21T2t111918"
"2020-19-07 11:19:40","11.7","f1p21T2t111918"
"2020-19-07 11:19:41","11.7","f1p21T2t111918"
"2020-19-07 11:19:42","11.7","f1p21T2t111918"
"2020-19-07 11:19:43","11.7","f1p21T2t111918"
"2020-19-07 11:19:44","11.7","f1p21T2t111918"
"2020-19-07 11:19:45","11.7","f1p21T2t111918"
"2020-19-07 11:19:46","11.7","f1p21T2t111918"
"2020-19-07 11:19:47","11.7","f1p21T2t111918"
"2020-19-07 11:19:48","11.7","f1p21T2t111918"
"2020-19-07 11:19:49","11.7","f1p21T2t111918"
"2020-19-07 11:19:50","12.7","f1p21T2t111918"
"2020-19-07 11:19:51","12.7","f1p21T2t111918"
"2020-19-07 11:19:52","12.7","f1p21T2t111918"
"2020-19-07 11:19:53","12.7","f1p21T2t111918"
"2020-19-07 11:19:54","12.7","f1p21T2t111918"
"2020-19-07 11:19:55","12.7","f1p21T2t111918"
"2020-19-07 11:19:56","12.7","f1p21T2t111918"
"2020-19-07 11:19:57","12.7","f1p21T2t111918"
"2020-19-07 11:19:58","12.7","f1p21T2t111918"
"2020-19-07 11:19:59","12.7","f1p21T2t111918"
"2020-20-07 11:20:00","12.7","f1p21T2t111918"
"2020-20-07 11:20:01","12.7","f1p21T2t111918"
"2020-20-07 11:20:02","12.7","f1p21T2t111918"
"2020-20-07 11:20:03","12.7","f1p21T2t111918"
"2020-20-07 11:20:04","12.7","f1p21T2t111918"
"2020-20-07 11:20:05","12.7","f1p21T2t111918"
"2020-20-07 11:20:06","12.7","f1p21T2t111918"
"2020-20-07 11:20:07","12.7","f1p21T2t111918"
"2020-20-07 11:20:08","12.7","f1p21T2t111918"
"2020-20-07 11:20:09","12.7","f1p21T2t111918"
"2020-20-07 11:20:10","12.7","f1p21T2t111918"
"2020-20-07 11:20:11","12.7","f1p21T2t111918"
